CountryCode,Reference area,Measure,Water type,Unit of measure,Year,Value,Observation status,Unit multiplier
AUS,Australia,Irrigable area,Not applicable,Hectares,2005,2405000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2005,2405000.0,Normal value,Units
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2015,16999.167,Time series break,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2015,3254.809,Time series break,Millions
AUS,Australia,Agriculture freshwater abstraction,Surface water,Cubic metres,2005,9059.7,Estimated value,Millions
AUS,Australia,Agriculture freshwater abstraction,Ground water,Cubic metres,2005,3183.142,Estimated value,Millions
AUS,Australia,Total freshwater abstraction,Ground water,Cubic metres,1995,4962.0,Estimated value,Millions
AUS,Australia,Total freshwater abstraction,Surface water,Cubic metres,1995,19109.0,Estimated value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,1994,10538.5,Estimated value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2021,16250.778,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2020,13323.216,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2019,15349.866,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2018,17564.522,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2017,16642.738,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2016,15772.305,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2014,19369.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2013,20137.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2012,16354.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2011,13709.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2010,13849.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2009,14619.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2005,13280.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,2001,22196.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,1997,24071.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,1995,24071.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Total,Cubic metres,1994,15055.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Surface water,Cubic metres,1997,19109.0,Normal value,Millions
AUS,Australia,Total freshwater abstraction,Ground water,Cubic metres,1997,4962.0,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2021,2808.522,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2020,2702.551,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2019,3113.376,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2018,3381.388,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2017,3221.235,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2016,3368.672,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2014,4596.0,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2013,3900.0,Normal value,Millions
